replicate,group,KL_phi,KL_psi,Q_native,Rg_mean
quantum_1,quantum,8.646235662812068e-05,0.00023919899469939366,0.9714081601349797,1.5084673615147308
quantum_2,quantum,8.646235662812068e-05,0.00023919899469939366,0.9711558401717924,1.5085752449284235
quantum_3,quantum,8.646235662812068e-05,0.00023919899469939366,0.9712235600889638,1.5084342483537607
quantum_4,quantum,8.646235662812068e-05,0.00023919899469939366,0.9713181225554107,1.5083159418330747
quantum_5,quantum,8.646235662812068e-05,0.00023919899469939366,0.971132295421428,1.5085973891213298
quantum_6,quantum,8.646235662812068e-05,0.00023919899469939366,0.9712334534856967,1.508457468612533
quantum_7,quantum,8.646235662812068e-05,0.00023919899469939366,0.971197484469668,1.5084581684744776
quantum_8,quantum,8.646235662812068e-05,0.00023919899469939366,0.9711783112201856,1.5083985292383135
control_1,control,8.646235662812068e-05,0.00023919899469939366,0.9726932113125565,1.5086043457585088
control_2,control,8.646235662812068e-05,0.00023919899469939366,0.9726086170765,1.5086308113064661
control_3,control,8.646235662812068e-05,0.00023919899469939366,0.9724541172399208,1.5084067126234915
control_4,control,8.646235662812068e-05,0.00023919899469939366,0.9725219464364677,1.5083786710490426
control_5,control,8.646235662812068e-05,0.00023919899469939366,0.972531328706285,1.5083966168909984
control_6,control,8.646235662812068e-05,0.00023919899469939366,0.972457731720916,1.5084659576436452
control_7,control,8.646235662812068e-05,0.00023919899469939366,0.9723909791782823,1.5084734066718126
control_8,control,8.646235662812068e-05,0.00023919899469939366,0.9725739334397171,1.5084955417707484
