gen_id,pred_mean_norm,pred_std_norm,pred_mean,pred_std
0,0.026654642,0.4765664,0.026654642,0.4765664
15,0.02669161,0.47657067,0.02669161,0.47657067
7,0.02669298,0.4765708,0.02669298,0.4765708
13,0.026775282,0.47658098,0.026775282,0.47658098
4,0.026784718,0.47658217,0.026784718,0.47658217
14,0.02681126,0.4765856,0.02681126,0.4765856
6,0.02682205,0.47658703,0.02682205,0.47658703
8,0.02694326,0.4766035,0.02694326,0.4766035
1,0.026944702,0.47660375,0.026944702,0.47660375
2,0.027070105,0.47662163,0.027070105,0.47662163
10,0.02710045,0.47662604,0.02710045,0.47662604
3,0.027261656,0.47664958,0.027261656,0.47664958
5,0.027362693,0.47666422,0.027362693,0.47666422
12,0.027494997,0.47668284,0.027494997,0.47668284
9,0.027516734,0.4766858,0.027516734,0.4766858
11,0.027656084,0.47670427,0.027656084,0.47670427
